config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,4,0.6262,0.6607999999999999,0.6316999999999999,0.4823,0.7994,26,unknown,UPL,0.9484,0.8527,0.898,0.8149,6700579
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.5725,0.5947500000000001,0.602925,0.4246,0.7058,26,unknown,EMW,0.5248,0.5483,0.5363,0.3664,621544
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.5725,0.5947500000000001,0.602925,0.4246,0.7058,26,unknown,FSW,0.652,0.2918,0.4032,0.2525,966100
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.5725,0.5947500000000001,0.602925,0.4246,0.7058,26,unknown,SSW,0.3891,0.6644,0.4908,0.3252,566727
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.5725,0.5947500000000001,0.602925,0.4246,0.7058,26,unknown,UPL,0.8458,0.8745,0.8599,0.7543,3088482
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.5846,0.6066499999999999,0.599025,0.4403,0.7175,26,unknown,EMW,0.35,0.2409,0.2854,0.1665,532418
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.5846,0.6066499999999999,0.599025,0.4403,0.7175,26,unknown,FSW,0.733,0.5002,0.5946,0.4231,1459626
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.5846,0.6066499999999999,0.599025,0.4403,0.7175,26,unknown,SSW,0.4957,0.8222,0.6185,0.4477,662690
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.5846,0.6066499999999999,0.599025,0.4403,0.7175,26,unknown,UPL,0.8174,0.8633,0.8397,0.7238,3440085
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.5153,0.551375,0.51605,0.3797,0.6611,26,unknown,EMW,0.1682,0.1628,0.1655,0.0902,424418
