config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafoff,4,FSW,2,3,ridge,1.4525906408380251e-05
fld_chmret_leafoff,4,FSW,3,4,shoulder,8.609755241195671e-06
fld_chmret_leafoff,4,FSW,4,5,spur,1.7616837794776075e-05
fld_chmret_leafoff,4,FSW,5,6,slope,3.971725163864903e-05
fld_chmret_leafoff,4,FSW,6,7,hollow,2.0709110685857013e-05
fld_chmret_leafoff,4,FSW,7,8,footslope,2.4782499167486094e-05
fld_chmret_leafoff,4,FSW,8,9,valley,3.495301280054264e-05
fld_chmret_leafoff,4,FSW,9,10,pit,3.963686140195932e-06
fld_chmret_leafoff,4,SSW,0,1,flat,4.427415115060285e-05
fld_chmret_leafoff,4,SSW,1,2,peak,2.4002615646168124e-06
fld_chmret_leafoff,4,SSW,2,3,ridge,9.233763194060884e-06
fld_chmret_leafoff,4,SSW,3,4,shoulder,7.042171091597993e-06
fld_chmret_leafoff,4,SSW,4,5,spur,1.2526781574706547e-05
fld_chmret_leafoff,4,SSW,5,6,slope,3.38617610395886e-05
fld_chmret_leafoff,4,SSW,6,7,hollow,1.534190414531622e-05
fld_chmret_leafoff,4,SSW,7,8,footslope,2.5996941985795274e-05
fld_chmret_leafoff,4,SSW,8,9,valley,2.697606396395713e-05
fld_chmret_leafoff,4,SSW,9,10,pit,3.0779035569139523e-06
fld_chmret_leafoff,4,UPL,0,1,flat,4.622349297278561e-05
fld_chmret_leafoff,4,UPL,1,2,peak,3.867448867822532e-06
fld_chmret_leafoff,4,UPL,2,3,ridge,1.3520451830117963e-05
fld_chmret_leafoff,4,UPL,3,4,shoulder,9.625940947444178e-06
fld_chmret_leafoff,4,UPL,4,5,spur,1.5672414519940503e-05
fld_chmret_leafoff,4,UPL,5,6,slope,3.847220432362519e-05
fld_chmret_leafoff,4,UPL,6,7,hollow,1.874081681307871e-05
fld_chmret_leafoff,4,UPL,7,8,footslope,2.931875678768847e-05
fld_chmret_leafoff,4,UPL,8,9,valley,3.190647839801386e-05
fld_chmret_leafoff,4,UPL,9,10,pit,4.812803126696963e-06
fld_chmret_leafoff,4,overall,0,1,flat,4.2114646930713207e-05
fld_chmret_leafoff,4,overall,1,2,peak,2.9679897579626413e-06
